,full_name,selling_price,new-price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,Brand
1644,Renault KWID Climber,409999,654000,2018,Dealer,15235,First Owner,Petrol,Manual,23.01,Renault
1645,Hyundai i20 Asta,500000,1324000,2013,Dealer,49000,First Owner,Petrol,Manual,18.5,Hyundai
1646,Honda City i,695000,1698999,2014,Dealer,39000,First Owner,Petrol,Automatic,18.0,Honda
1647,Skoda Rapid 1.6,395000,1551000,2013,Dealer,30000,First Owner,Petrol,Manual,15.0,Skoda
1648,Honda City 1.5,300000,1710000,2010,Dealer,92000,First Owner,Petrol,Manual,17.0,Honda
1649,Maruti Swift VXI,149000,931000,2007,Individual,60000,First Owner,Petrol,Manual,16.1,Maruti
1650,Maruti Swift Dzire,745000,1032000,2018,Dealer,29500,First Owner,Petrol,Automatic,21.21,Maruti
1651,Renault KWID RXT,349000,654000,2017,Dealer,20966,First Owner,Petrol,Manual,25.17,Renault
1652,Mahindra XUV500 W8,675000,2339000,2013,Dealer,73000,First Owner,Diesel,Manual,15.1,Mahindra
1653,Hyundai Verna 1.4,490000,1811000,2013,Dealer,59000,First Owner,Diesel,Manual,23.5,Hyundai
1654,Hyundai i20 1.2,371000,1323000,2010,Dealer,78000,First Owner,Petrol,Manual,17.0,Hyundai
1655,Hyundai Santro Sportz,530000,740000,2019,Individual,4800,First Owner,Petrol,Manual,20.3,Hyundai
1656,Honda Amaze S,434999,1036000,2015,Dealer,21000,First Owner,Petrol,Manual,18.0,Honda
1657,Maruti Celerio ZXI,484999,672000,2017,Dealer,55001,First Owner,Petrol,Automatic,23.1,Maruti
1658,Maruti Celerio Green,475000,656000,2017,Dealer,39400,First Owner,CNG,Manual,31.79,Maruti
1659,Renault KWID RXL,350000,599000,2019,Individual,5000,First Owner,Petrol,Manual,25.17,Renault
1660,Honda City i,825000,1698999,2016,Trustmark Dealer,56436,First Owner,Petrol,Automatic,18.0,Honda
1661,Renault KWID RXT,365000,654000,2018,Dealer,20000,First Owner,Petrol,Manual,25.17,Renault
1662,Ford Aspire 1.5,650000,1024000,2017,Individual,25000,First Owner,Diesel,Manual,24.29,Ford
1663,Hyundai i20 1.2,204000,1324000,2010,Individual,220000,First Owner,Petrol,Manual,17.0,Hyundai
1664,Hyundai i20 1.4,434999,1283000,2012,Dealer,66259,First Owner,Diesel,Manual,21.9,Hyundai
1665,Honda Amaze S,425000,1024000,2013,Dealer,57239,First Owner,Petrol,Manual,18.0,Honda
1666,Honda City i-VTEC,715000,1698999,2017,Dealer,45000,First Owner,Petrol,Manual,17.4,Honda
1667,Hyundai Verna 1.6,540000,1779000,2013,Dealer,65000,First Owner,Diesel,Manual,22.32,Hyundai
1668,Maruti Ciaz ZXi,675000,1351000,2017,Dealer,54552,First Owner,Petrol,Manual,20.73,Maruti
1669,Mahindra Bolero 2011-2019,635000,1074000,2015,Dealer,78028,First Owner,Diesel,Manual,15.96,Mahindra
