,full_name,selling_price,new-price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,Brand
0,Hyundai Grand i10,550000,748000,2016,Individual,20000,First Owner,Petrol,Manual,18.9,Hyundai
1,Ford Ecosport 2015-2021,570000,1379000,2015,Dealer,30000,First Owner,Diesel,Manual,22.77,Ford
2,Maruti Wagon R,350000,694000,2013,Individual,35000,First Owner,Petrol,Manual,18.9,Maruti
3,Hyundai i10 Sportz,315000,663000,2013,Dealer,40000,First Owner,Petrol,Manual,20.36,Hyundai
4,Maruti Wagon R,409999,701000,2018,Dealer,17512,First Owner,Petrol,Manual,20.51,Maruti
5,Hyundai Venue SX,1050000,1302000,2019,Individual,20000,First Owner,Petrol,Automatic,18.15,Hyundai
6,Maruti Swift VXI,511000,927000,2017,Dealer,28321,First Owner,Petrol,Manual,16.6,Maruti
7,Hyundai Verna 1.6,425000,1829000,2013,Dealer,65278,First Owner,Diesel,Manual,22.32,Hyundai
8,Maruti Baleno Zeta,600000,1054000,2015,Individual,20000,First Owner,Petrol,Manual,21.4,Maruti
9,Maruti Swift Dzire,575000,1040000,2016,Individual,40000,First Owner,Petrol,Manual,20.85,Maruti
10,Volkswagen Vento 1.6,425000,1607999,2013,Dealer,47000,First Owner,Petrol,Manual,16.09,Volkswagen
11,Hyundai Creta 1.6,1225000,1830000,2019,Individual,15000,First Owner,Diesel,Manual,19.67,Hyundai
12,Honda City i,750000,1657000,2015,Individual,50000,First Owner,Petrol,Manual,17.4,Honda
13,Mahindra Bolero SLE,350000,1069000,2011,Individual,25000,First Owner,Diesel,Manual,13.6,Mahindra
14,Honda City 2017-2020,145000,1680000,2007,Dealer,77253,First Owner,Petrol,Manual,17.7,Honda
15,Renault KWID Climber,340000,629000,2017,Individual,30000,First Owner,Petrol,Manual,23.01,Renault
16,Honda Amaze S,465000,990000,2016,Dealer,39993,First Owner,Petrol,Manual,18.6,Honda
17,Mahindra XUV500 W8,600000,2336000,2012,Individual,185000,First Owner,Diesel,Manual,15.1,Mahindra
18,Hyundai i20 1.2,598000,1266000,2018,Individual,40000,First Owner,Petrol,Manual,18.6,Hyundai
19,Honda City i,700000,1680000,2015,Dealer,31180,First Owner,Petrol,Automatic,18.0,Honda
20,Maruti Baleno Zeta,590000,1042000,2016,Dealer,52427,First Owner,Petrol,Automatic,21.4,Maruti
21,Mahindra Bolero B6,850000,1047000,2020,Individual,40000,First Owner,Diesel,Manual,21.0,Mahindra
22,Mahindra KUV100 NXT,550000,875000,2018,Individual,17000,First Owner,Petrol,Manual,18.15,Mahindra
23,Maruti Baleno Vxi,625000,1054000,2016,Dealer,22000,First Owner,Petrol,Manual,15.4,Maruti
24,Maruti Swift Dzire,600000,1040000,2016,Individual,54000,First Owner,Petrol,Manual,20.85,Maruti
25,Maruti Wagon R,445000,679000,2019,Individual,10000,First Owner,Petrol,Manual,20.51,Maruti
26,Maruti Ignis 1.2,530000,856000,2019,Individual,20000,First Owner,Petrol,Manual,20.89,Maruti
27,Maruti Wagon R,409999,604000,2018,Trustmark Dealer,53237,First Owner,CNG,Manual,26.6,Maruti
28,Datsun RediGO Gold,350000,550000,2018,Individual,27263,First Owner,Petrol,Manual,22.5,Datsun
29,Hyundai Verna 1.6,520000,1809000,2014,Individual,110000,First Owner,Diesel,Manual,22.32,Hyundai
30,Hyundai i20 Asta,750000,1283000,2016,Individual,70000,First Owner,Diesel,Manual,22.54,Hyundai
31,Hyundai i20 1.2,655000,1341000,2019,Dealer,39000,First Owner,Petrol,Manual,18.6,Hyundai
32,Hyundai i20 1.2,550000,1312000,2018,Individual,34000,First Owner,Petrol,Manual,18.6,Hyundai
33,Mahindra Scorpio 1.99,1150000,1992000,2017,Individual,50000,First Owner,Diesel,Manual,15.4,Mahindra
34,Mahindra Marazzo M2,990000,1643000,2019,Individual,36000,First Owner,Diesel,Manual,17.3,Mahindra
35,Hyundai Verna SX,551000,1817000,2013,Dealer,47876,First Owner,Diesel,Manual,25.0,Hyundai
36,Mahindra XUV500 W11,1650000,2328000,2018,Individual,21500,First Owner,Diesel,Automatic,15.1,Mahindra
37,Ford Aspire 1.2,500000,869999,2017,Dealer,58000,First Owner,Petrol,Manual,18.16,Ford
38,Maruti Swift Dzire,575000,1026000,2018,Individual,30000,First Owner,Petrol,Manual,21.21,Maruti
39,Ford Figo 1.2P,525000,791000,2017,Trustmark Dealer,19093,First Owner,Petrol,Manual,18.16,Ford
40,Honda Amaze E,400000,985000,2014,Individual,50000,First Owner,Petrol,Manual,18.0,Honda
41,Maruti Wagon R,155000,694000,2006,Dealer,37000,First Owner,Petrol,Manual,14.0,Maruti
42,Honda City V,545000,1745000,2013,Individual,70000,First Owner,Petrol,Manual,16.8,Honda
43,Renault KWID RXL,240000,609000,2016,Individual,25000,First Owner,Petrol,Manual,25.17,Renault
44,Ford Aspire 1.2,480000,844999,2017,Individual,30000,First Owner,Petrol,Manual,18.16,Ford
45,Hyundai i20 Magna,375000,1312000,2013,Individual,15000,First Owner,Petrol,Manual,18.5,Hyundai
46,Tata Tiago 1.2,400000,789000,2017,Individual,32100,First Owner,Petrol,Manual,23.84,Tata
47,Hyundai i20 Magna,550000,1341000,2016,Dealer,22000,First Owner,Petrol,Manual,18.5,Hyundai
48,Volkswagen Polo 1.2,450000,1119000,2016,Dealer,78000,First Owner,Petrol,Manual,18.78,Volkswagen
49,Mercedes-Benz C-Class C,775000,160000,2012,Dealer,74352,First Owner,Petrol,Automatic,11.74,Mercedes-Benz
50,Maruti Wagon R,350000,694000,2014,Individual,37000,First Owner,Petrol,Manual,20.51,Maruti
51,Honda City i,550000,1755000,2014,Dealer,69000,First Owner,Diesel,Manual,25.1,Honda
52,Kia Seltos HTK,1080000,1920000,2019,Individual,12120,First Owner,Petrol,Manual,16.8,Kia
53,Maruti Alto 800,229999,466000,2013,Individual,55000,First Owner,Petrol,Manual,22.74,Maruti
54,Hyundai i20 1.4,270000,1128000,2011,Individual,160000,First Owner,Diesel,Manual,21.9,Hyundai
55,Ford Figo Petrol,130000,791000,2011,Individual,40000,First Owner,Petrol,Manual,15.6,Ford
56,Maruti Swift Dzire,370000,994999,2012,Dealer,46000,First Owner,Petrol,Manual,19.1,Maruti
57,Maruti Baleno Delta,570000,1042000,2017,Dealer,25000,First Owner,Petrol,Manual,21.4,Maruti
58,Hyundai Verna CRDi,1250000,1829000,2018,Dealer,14000,First Owner,Diesel,Automatic,22.0,Hyundai
59,Hyundai i20 2015-2017,590000,1341000,2016,Dealer,11000,First Owner,Petrol,Manual,18.6,Hyundai
60,Maruti Celerio VXI,475000,665000,2018,Individual,5000,First Owner,Petrol,Automatic,23.1,Maruti
61,Ford Ecosport 2015-2021,685000,1379000,2017,Dealer,55000,First Owner,Diesel,Manual,23.0,Ford
62,Renault KWID 1.0,330000,648000,2018,Individual,22000,First Owner,Petrol,Manual,23.01,Renault
63,Maruti Baleno Delta,650000,1042000,2018,Trustmark Dealer,7671,First Owner,Petrol,Manual,21.01,Maruti
64,Maruti Wagon R,325000,679000,2016,Individual,66000,First Owner,Petrol,Manual,20.51,Maruti
65,Maruti Swift Dzire,640000,1003999,2018,Dealer,45156,First Owner,Petrol,Automatic,21.21,Maruti
66,Hyundai Venue SX,949000,1212000,2019,Individual,25000,First Owner,Petrol,Manual,18.27,Hyundai
67,Hyundai Verna 1.6,660000,1809000,2015,Individual,120000,First Owner,Diesel,Manual,23.9,Hyundai
68,Maruti Swift VXi,434999,927000,2014,Dealer,28000,First Owner,Petrol,Manual,16.1,Maruti
69,Hyundai i20 Sportz,385000,1309000,2013,Dealer,55000,First Owner,Diesel,Manual,21.9,Hyundai
70,Hyundai Verna CRDi,1250000,1829000,2019,Dealer,14000,First Owner,Diesel,Automatic,22.0,Hyundai
71,Maruti Wagon R,155000,707000,2009,Dealer,98780,First Owner,Petrol,Manual,18.9,Maruti
72,Mahindra Scorpio S10,1150000,1992000,2016,Dealer,46400,First Owner,Diesel,Manual,15.4,Mahindra
73,Datsun GO Plus,350000,788000,2015,Individual,35000,First Owner,Petrol,Manual,19.44,Datsun
74,Mahindra Scorpio 1.99,1125000,1992000,2017,Dealer,30000,First Owner,Diesel,Manual,15.4,Mahindra
75,Datsun GO Plus,480000,809000,2018,Individual,10000,First Owner,Petrol,Manual,20.62,Datsun
76,Hyundai Creta 1.6,1100000,1975000,2017,Dealer,102000,First Owner,Diesel,Automatic,17.01,Hyundai
77,Hyundai Santro LP,160000,746000,2007,Individual,54000,First Owner,Petrol,Manual,0.0,Hyundai
78,Maruti Swift Dzire,340000,1003999,2012,Dealer,49948,First Owner,Petrol,Manual,17.5,Maruti
79,Ford Ecosport 2015-2021,925000,1371000,2018,Individual,55000,First Owner,Diesel,Manual,23.0,Ford
80,Hyundai Grand i10,400000,657000,2015,Dealer,36000,First Owner,Petrol,Manual,18.9,Hyundai
81,Honda City i,725000,1680000,2016,Dealer,49625,First Owner,Petrol,Manual,17.8,Honda
82,Mahindra Scorpio VLX,550000,1920000,2013,Individual,95000,First Owner,Diesel,Manual,12.05,Mahindra
83,Ford Aspire 1.5,585000,1008000,2017,Dealer,36000,First Owner,Diesel,Manual,25.83,Ford
84,Maruti Wagon R,411000,712000,2019,Individual,50000,First Owner,Petrol,Manual,21.79,Maruti
85,Maruti Swift Dzire,450000,1013000,2015,Individual,26500,First Owner,Petrol,Manual,20.85,Maruti
86,Hyundai Grand i10,710000,891000,2019,Individual,9000,First Owner,Petrol,Manual,20.7,Hyundai
87,Honda City V,770000,1680000,2016,Dealer,53000,First Owner,Petrol,Manual,16.8,Honda
88,Honda Amaze VX,720000,1166000,2018,Individual,50000,First Owner,Diesel,Manual,25.8,Honda
89,Datsun GO Plus,400000,788000,2015,Individual,35000,First Owner,Petrol,Manual,19.44,Datsun
90,Honda Jazz 1.2,600000,1099000,2018,Individual,18000,First Owner,Petrol,Manual,18.7,Honda
91,Hyundai i20 Magna,500000,1266000,2015,Individual,30000,First Owner,Petrol,Manual,18.6,Hyundai
92,Hyundai Verna 1.6,650000,1829000,2015,Dealer,55000,First Owner,Diesel,Manual,23.9,Hyundai
93,Maruti Swift AMT,660000,914000,2018,Individual,10000,First Owner,Petrol,Automatic,21.21,Maruti
94,Kia Seltos HTK,1275000,2026000,2020,Dealer,8000,First Owner,Petrol,Manual,16.8,Kia
95,Hyundai Grand i10,475000,748000,2016,Individual,25000,First Owner,Petrol,Manual,18.9,Hyundai
96,Maruti Ciaz VXi,530000,1272000,2015,Individual,70000,First Owner,Petrol,Manual,20.73,Maruti
97,Tata Tiago 1.2,530000,782000,2016,Individual,9500,First Owner,Petrol,Manual,23.84,Tata
98,Hyundai Verna 1.6,650000,1587000,2015,Individual,9100,First Owner,Petrol,Manual,17.01,Hyundai
99,Honda City 1.5,335000,1617000,2010,Dealer,86000,First Owner,Petrol,Manual,17.0,Honda
100,Maruti Wagon R,550000,679000,2019,Trustmark Dealer,7883,First Owner,Petrol,Automatic,21.5,Maruti
101,Mahindra Bolero DI,260000,1047000,2008,Individual,220000,First Owner,Diesel,Manual,13.6,Mahindra
102,Mahindra Scorpio SLE,550000,1943000,2012,Individual,170000,First Owner,Diesel,Manual,12.05,Mahindra
103,Maruti Swift Dzire,650000,994999,2018,Individual,15000,First Owner,Petrol,Manual,22.0,Maruti
104,Kia Seltos GTK,1300000,1920000,2019,Individual,7000,First Owner,Petrol,Manual,16.1,Kia
105,Maruti Celerio ZXI,505000,665000,2020,Individual,8700,First Owner,Petrol,Manual,21.63,Maruti
106,Maruti Alto 800,310000,466000,2019,Individual,25000,First Owner,Petrol,Manual,24.7,Maruti
107,Hyundai i20 Asta,545000,1341000,2015,Dealer,42000,First Owner,Petrol,Manual,18.6,Hyundai
108,Mahindra Bolero DI,150000,1069000,2006,Individual,120000,First Owner,Diesel,Manual,13.6,Mahindra
109,Maruti Baleno Delta,580000,1017000,2018,Individual,50000,First Owner,Petrol,Manual,21.4,Maruti
110,Maruti Wagon R,250000,713000,2011,Individual,58000,First Owner,Petrol,Manual,18.9,Maruti
111,Hyundai Verna 1.4,650000,1652000,2017,Individual,36000,First Owner,Petrol,Manual,17.43,Hyundai
112,Ford Ecosport 2015-2021,531000,1379000,2015,Dealer,162828,First Owner,Diesel,Manual,22.77,Ford
113,Maruti Wagon R,434999,623000,2018,Dealer,52000,First Owner,CNG,Manual,33.54,Maruti
114,Ford Figo Diesel,185000,946000,2012,Dealer,74000,First Owner,Diesel,Manual,20.0,Ford
115,Mahindra Bolero 2011-2019,440000,1069000,2011,Dealer,47000,First Owner,Diesel,Manual,15.96,Mahindra
116,Hyundai i20 Sportz,450000,1266000,2015,Individual,50000,First Owner,Petrol,Manual,18.6,Hyundai
117,Maruti Baleno Zeta,600000,1063000,2017,Individual,100000,First Owner,Petrol,Manual,21.4,Maruti
118,Maruti Celerio VXI,320000,648000,2014,Individual,35000,First Owner,Petrol,Manual,23.1,Maruti
119,Ford Aspire 1.2,630000,844999,2018,Individual,10000,First Owner,Petrol,Manual,18.16,Ford
120,Maruti Alto 800,320000,465000,2016,Individual,10370,First Owner,Petrol,Manual,22.74,Maruti
121,Honda City V,465000,1680000,2013,Dealer,62000,First Owner,Petrol,Manual,16.8,Honda
122,Maruti Swift VVT,445000,914000,2017,Individual,60000,First Owner,Petrol,Manual,22.0,Maruti
123,Maruti Wagon R,270000,604000,2013,Dealer,64000,First Owner,CNG,Manual,33.54,Maruti
124,Honda City 2017-2020,350000,1680000,2011,Dealer,55000,First Owner,Petrol,Manual,16.9,Honda
125,Hyundai i20 2015-2017,575000,1341000,2016,Dealer,11000,First Owner,Petrol,Manual,18.6,Hyundai
126,Renault KWID 1.0,360000,629000,2017,Individual,17000,First Owner,Petrol,Manual,23.01,Renault
127,Maruti Alto 800,275000,465000,2017,Individual,25000,First Owner,Petrol,Manual,24.7,Maruti
128,Datsun GO Plus,320000,774000,2016,Individual,33350,First Owner,Petrol,Manual,19.44,Datsun
129,Hyundai Grand i10,370000,657000,2015,Dealer,62000,First Owner,Petrol,Manual,18.9,Hyundai
130,Maruti Swift Dzire,275000,994999,2009,Individual,59000,First Owner,Petrol,Manual,17.5,Maruti
131,Honda City i,550000,1680000,2014,Dealer,86113,First Owner,Petrol,Manual,17.4,Honda
132,Maruti Wagon R,272000,713000,2015,Individual,92537,First Owner,Petrol,Manual,20.51,Maruti
133,Honda City V,545000,1745000,2013,Individual,70000,First Owner,Petrol,Manual,16.8,Honda
134,Hyundai i20 2015-2017,480000,1278000,2017,Dealer,64000,First Owner,Petrol,Manual,18.6,Hyundai
135,Mahindra Scorpio 1.99,1060000,1961000,2017,Dealer,93000,First Owner,Diesel,Manual,15.4,Mahindra
136,Maruti Alto 800,235000,466000,2013,Dealer,26200,First Owner,Petrol,Manual,22.74,Maruti
137,Maruti Baleno Zeta,590000,1035000,2017,Individual,25000,First Owner,Petrol,Manual,21.4,Maruti
138,Mahindra Scorpio M2DI,280000,2009000,2007,Individual,110000,First Owner,Diesel,Manual,13.5,Mahindra
139,Honda City i-VTEC,750000,1701000,2018,Individual,25000,First Owner,Petrol,Manual,17.4,Honda
140,Hyundai Grand i10,400000,657000,2015,Dealer,36000,First Owner,Petrol,Manual,18.9,Hyundai
141,Mahindra Thar CRDe,869999,1620000,2018,Individual,25000,First Owner,Diesel,Manual,16.55,Mahindra
142,Renault KWID RXL,295000,578000,2018,Dealer,30038,First Owner,Petrol,Manual,25.17,Renault
143,Maruti Swift VXI,530000,930000,2018,Individual,5000,First Owner,Petrol,Manual,21.21,Maruti
144,Renault KWID Climber,350000,609000,2017,Individual,35000,First Owner,Petrol,Automatic,24.04,Renault
145,Ford Ecosport 1.5,470000,1348000,2013,Dealer,62000,First Owner,Diesel,Manual,22.7,Ford
146,Ford Aspire 1.5,390000,1001000,2015,Individual,42000,First Owner,Diesel,Manual,25.83,Ford
147,Mahindra Scorpio S10,919999,1992000,2015,Individual,80000,First Owner,Diesel,Manual,15.4,Mahindra
148,Mahindra XUV500 W8,550000,2328000,2013,Individual,60000,First Owner,Diesel,Manual,15.1,Mahindra
149,Hyundai Verna 1.6,635000,1829000,2014,Individual,45000,First Owner,Diesel,Manual,22.32,Hyundai
150,Mahindra XUV500 AT,1250000,2328000,2017,Dealer,50000,First Owner,Diesel,Automatic,16.0,Mahindra
151,Maruti Alto 800,300000,465000,2018,Individual,12000,First Owner,Petrol,Manual,24.7,Maruti
152,Honda City i-VTEC,960000,1701000,2018,Individual,12000,First Owner,Petrol,Automatic,18.0,Honda
153,Volkswagen Polo Petrol,249000,1119000,2011,Dealer,63000,First Owner,Petrol,Manual,16.47,Volkswagen
154,Ford Figo Diesel,250000,952999,2011,Individual,160800,First Owner,Diesel,Manual,20.0,Ford
155,Hyundai Verna 1.6,610000,1809000,2014,Individual,120000,First Owner,Diesel,Manual,22.32,Hyundai
156,Ford Ecosport 2015-2021,545000,1379000,2016,Dealer,78247,First Owner,Diesel,Manual,21.7,Ford
157,Hyundai Verna 1.6,480000,1588000,2013,Individual,113000,First Owner,Diesel,Manual,22.32,Hyundai
158,Hyundai i20 2015-2017,395000,1341000,2014,Dealer,52000,First Owner,Petrol,Manual,18.6,Hyundai
159,Hyundai Grand i10,470000,716000,2017,Individual,90000,First Owner,Petrol,Manual,18.9,Hyundai
160,Maruti Wagon R,340000,712000,2014,Individual,21717,First Owner,Petrol,Manual,20.51,Maruti
161,Honda City i-VTEC,1050000,1745000,2017,Individual,50000,First Owner,Petrol,Manual,17.14,Honda
162,Maruti Swift VXI,491000,927000,2017,Dealer,27876,First Owner,Petrol,Manual,20.4,Maruti
163,Hyundai Venue SX,985000,1375000,2019,Dealer,5400,First Owner,Petrol,Manual,18.27,Hyundai
164,Tata Tiago 1.2,335000,789000,2017,Individual,24800,First Owner,Petrol,Manual,23.84,Tata
165,Honda Jazz VX,740000,1096000,2018,Dealer,20000,First Owner,Petrol,Automatic,17.1,Honda
166,Maruti Swift VXI,375000,898000,2013,Dealer,34553,First Owner,Petrol,Manual,22.0,Maruti
167,Mahindra Scorpio 1.99,850000,1992000,2017,Individual,120000,First Owner,Diesel,Manual,15.4,Mahindra
168,Hyundai i20 Era,285000,1274000,2013,Individual,90000,First Owner,Diesel,Manual,22.54,Hyundai
169,Hyundai Creta 1.6,1100000,2080000,2017,Individual,80000,First Owner,Diesel,Manual,19.67,Hyundai
170,Mahindra Scorpio 1.99,1080000,1920000,2017,Individual,30000,First Owner,Diesel,Manual,15.4,Mahindra
171,Honda City i,530000,1648999,2014,Dealer,66100,First Owner,Diesel,Manual,26.0,Honda
172,Mahindra Scorpio 1.99,1025000,1992000,2017,Dealer,42000,First Owner,Diesel,Manual,15.4,Mahindra
173,Hyundai i20 1.2,650000,1346000,2017,Individual,55000,First Owner,Petrol,Manual,18.6,Hyundai
174,Maruti Baleno Delta,686000,1054000,2019,Individual,5000,First Owner,Petrol,Automatic,21.4,Maruti
175,Maruti Alto 800,200000,449000,2016,Individual,50000,First Owner,Petrol,Manual,22.74,Maruti
176,Maruti Swift Dzire,250000,994999,2010,Dealer,44000,First Owner,Petrol,Manual,19.1,Maruti
177,Hyundai Verna 1.6,650000,1652000,2016,Dealer,55000,First Owner,Petrol,Manual,17.01,Hyundai
178,Maruti Baleno Zeta,620000,1063000,2017,Individual,30000,First Owner,Petrol,Manual,21.4,Maruti
179,Hyundai Verna 1.6,509999,1463000,2013,Individual,50000,First Owner,Petrol,Manual,17.01,Hyundai
180,Maruti Eeco 5,375000,509000,2013,Individual,20000,First Owner,Petrol,Manual,15.37,Maruti
181,Maruti Swift Dzire,620000,1003999,2017,Trustmark Dealer,19843,First Owner,Petrol,Automatic,21.21,Maruti
182,Toyota Innova Crysta,1450000,2990000,2017,Dealer,52300,First Owner,Diesel,Manual,13.68,Toyota
183,Honda City i,844999,1617000,2016,Individual,40000,First Owner,Petrol,Automatic,18.0,Honda
184,Honda Amaze S,395000,990000,2015,Dealer,59000,First Owner,Petrol,Manual,18.0,Honda
185,Hyundai Grand i10,450000,735000,2018,Individual,40000,First Owner,Petrol,Manual,18.9,Hyundai
186,Hyundai Grand i10,325000,657000,2013,Dealer,61000,First Owner,Petrol,Manual,18.9,Hyundai
187,Mahindra XUV500 W8,650000,2328000,2013,Dealer,63000,First Owner,Diesel,Manual,15.1,Mahindra
188,Mercedes-Benz E-Class E,1250000,172000,2012,Dealer,58000,First Owner,Petrol,Manual,12.3,Mercedes-Benz
189,Ford Figo Diesel,169000,928999,2012,Dealer,68000,First Owner,Diesel,Manual,20.0,Ford
190,Maruti Wagon R,400000,694000,2018,Individual,80000,First Owner,Petrol,Automatic,20.51,Maruti
191,Hyundai Santro Sportz,565000,740000,2020,Dealer,1000,First Owner,Petrol,Automatic,20.3,Hyundai
192,Mahindra Scorpio 2009-2014,300000,1971000,2010,Dealer,67900,First Owner,Diesel,Manual,12.05,Mahindra
193,Mahindra Scorpio 1.99,1051000,1992000,2015,Dealer,40000,First Owner,Diesel,Manual,15.4,Mahindra
194,Renault KWID Climber,370000,629000,2018,Individual,25000,First Owner,Petrol,Automatic,24.04,Renault
195,Maruti Wagon R,200000,688000,2006,Individual,70000,First Owner,Petrol,Manual,18.9,Maruti
196,Mahindra Scorpio S7,1290000,1992000,2018,Dealer,39000,First Owner,Diesel,Manual,16.36,Mahindra
197,Hyundai Verna 1.6,420000,1829000,2012,Dealer,61000,First Owner,Diesel,Manual,22.32,Hyundai
198,Maruti Swift LXI,500000,898000,2017,Trustmark Dealer,5743,First Owner,Petrol,Manual,20.4,Maruti
199,Datsun GO Plus,500000,795000,2017,Individual,15000,First Owner,Petrol,Manual,19.44,Datsun
200,Mahindra XUV500 W6,650000,2344000,2015,Individual,100000,First Owner,Diesel,Manual,15.1,Mahindra
201,Maruti Wagon R,500000,694000,2020,Individual,10000,First Owner,Petrol,Manual,20.52,Maruti
202,Maruti Wagon R,325000,712000,2014,Individual,30000,First Owner,Petrol,Manual,20.51,Maruti
203,Honda City i,434999,1680000,2014,Dealer,63000,First Owner,Petrol,Manual,17.8,Honda
204,Honda City i,755000,1680000,2017,Dealer,32226,First Owner,Petrol,Manual,17.8,Honda
205,Renault KWID AMT,310000,643000,2018,Individual,15000,First Owner,Petrol,Automatic,24.04,Renault
206,Maruti Wagon R,500000,725000,2019,Individual,30000,First Owner,Petrol,Manual,20.52,Maruti
207,Mahindra Scorpio S10,1450000,2009000,2016,Individual,35000,First Owner,Diesel,Automatic,15.4,Mahindra
208,Mahindra Scorpio VLX,530000,1919000,2013,Individual,140000,First Owner,Diesel,Manual,12.05,Mahindra
209,Ford Ecosport 1.5,575000,1379000,2014,Trustmark Dealer,65597,First Owner,Diesel,Manual,22.7,Ford
210,Hyundai i20 2015-2017,550000,1346000,2017,Individual,35000,First Owner,Petrol,Manual,18.6,Hyundai
211,Maruti Baleno Delta,643000,1054000,2020,Individual,7124,First Owner,Petrol,Manual,21.01,Maruti
212,Ford Ecosport 2015-2021,1000000,1302000,2019,Individual,15000,First Owner,Petrol,Manual,18.1,Ford
213,Hyundai Grand i10,550000,709000,2016,Individual,34000,First Owner,Petrol,Manual,18.9,Hyundai
214,Tata Tigor 1.2,470000,871000,2018,Individual,40000,First Owner,Petrol,Manual,20.3,Tata
215,Honda City i,525000,1648999,2014,Dealer,77000,First Owner,Diesel,Manual,26.0,Honda
216,Datsun GO Plus,469000,795000,2017,Individual,15000,First Owner,Petrol,Manual,19.44,Datsun
217,Maruti Alto 800,200000,473000,2013,Individual,120000,First Owner,Petrol,Manual,22.74,Maruti
218,Renault KWID 1.0,400000,588000,2019,Individual,2500,First Owner,Petrol,Manual,23.01,Renault
219,Maruti Celerio ZXI,340000,625000,2016,Individual,46500,First Owner,Petrol,Manual,23.1,Maruti
220,Honda City i,670000,1680000,2015,Dealer,28000,First Owner,Petrol,Automatic,18.0,Honda
221,Mahindra XUV500 W6,1050000,2344000,2018,Individual,50000,First Owner,Diesel,Manual,16.0,Mahindra
222,Honda City 1.5,360000,1680000,2011,Dealer,55000,First Owner,Petrol,Manual,17.0,Honda
223,Ford Figo 1.5D,400000,911999,2017,Individual,53000,First Owner,Diesel,Manual,25.83,Ford
224,Hyundai Verna 1.6,470000,1718000,2014,Dealer,89000,First Owner,Diesel,Manual,22.32,Hyundai
225,Maruti Alto 800,304000,457000,2018,Individual,22000,First Owner,Petrol,Manual,24.7,Maruti
226,Honda City i,490000,1700000,2014,Dealer,69000,First Owner,Diesel,Manual,26.0,Honda
227,Mahindra Scorpio 1.99,864000,1992000,2016,Individual,155000,First Owner,Diesel,Manual,15.4,Mahindra
228,Mahindra XUV500 W6,480000,2328000,2013,Dealer,85000,First Owner,Diesel,Manual,16.0,Mahindra
229,Maruti Wagon R,575000,701000,2019,Dealer,3600,First Owner,Petrol,Automatic,20.52,Maruti
230,Maruti Baleno Delta,686000,1054000,2019,Individual,5000,First Owner,Petrol,Automatic,21.4,Maruti
231,MG Hector Smart,1698999,2175000,2019,Dealer,28000,First Owner,Diesel,Manual,17.41,MG
232,Maruti Baleno Zeta,680000,1054000,2018,Individual,10000,First Owner,Petrol,Automatic,21.4,Maruti
233,Ford Ecosport 2015-2021,955000,1313000,2019,Dealer,22346,First Owner,Petrol,Manual,17.0,Ford
234,Hyundai i20 1.4,350000,1128000,2012,Individual,120000,First Owner,Diesel,Manual,21.9,Hyundai
235,Maruti Vitara Brezza,800000,1316000,2020,Dealer,1000,First Owner,Petrol,Manual,17.03,Maruti
236,Mahindra XUV500 W6,825000,2344000,2015,Individual,170000,First Owner,Diesel,Manual,16.0,Mahindra
237,Mahindra Marazzo M8,1476000,1602000,2019,Individual,60000,First Owner,Diesel,Manual,17.3,Mahindra
238,Honda Jazz V,670000,1102000,2018,Dealer,40000,First Owner,Petrol,Automatic,18.2,Honda
239,Hyundai Grand i10,490000,657000,2017,Individual,35000,First Owner,Petrol,Manual,18.9,Hyundai
240,Toyota Innova Crysta,1500000,2911000,2019,Individual,35000,First Owner,Diesel,Manual,13.68,Toyota
241,Ford Figo Diesel,190000,946000,2012,Dealer,74000,First Owner,Diesel,Manual,20.0,Ford
242,Maruti Swift AMT,650000,898000,2019,Dealer,8000,First Owner,Petrol,Automatic,21.21,Maruti
243,Maruti Swift 1.2,455000,898000,2017,Individual,34000,First Owner,Petrol,Manual,20.4,Maruti
244,Maruti Swift VXI,365000,898000,2014,Dealer,54000,First Owner,Petrol,Manual,22.0,Maruti
245,Maruti Swift Dzire,470000,994999,2014,Dealer,11275,First Owner,Petrol,Manual,19.1,Maruti
246,Honda Civic 1.8,1519000,2463000,2019,Dealer,23000,First Owner,Petrol,Automatic,13.9,Honda
247,Honda Amaze S,325000,1137000,2013,Dealer,73000,First Owner,Diesel,Manual,25.8,Honda
248,Hyundai Grand i10,600000,876000,2020,Individual,10000,First Owner,Petrol,Automatic,20.7,Hyundai
249,Honda Amaze S,300000,1109000,2013,Individual,208000,First Owner,Diesel,Manual,25.8,Honda
250,Hyundai i10 Sportz,300000,735000,2010,Individual,30000,First Owner,Petrol,Manual,20.36,Hyundai
251,Maruti Wagon R,345000,606000,2016,Dealer,83000,First Owner,CNG,Manual,26.6,Maruti
252,Mahindra Scorpio S3,900000,1992000,2018,Individual,60000,First Owner,Diesel,Manual,15.4,Mahindra
253,Mahindra XUV500 W10,1025000,2267000,2016,Dealer,83000,First Owner,Diesel,Manual,16.0,Mahindra
254,Isuzu D-Max V-Cross,1450000,2379000,2017,Dealer,58132,First Owner,Diesel,Manual,12.4,Isuzu
255,Maruti Swift LXI,400000,890000,2015,Individual,34000,First Owner,Petrol,Manual,20.4,Maruti
256,Honda Amaze S,367000,1126000,2014,Dealer,45120,First Owner,Diesel,Manual,25.8,Honda
